	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)	Prediction
21936	73	Revised BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	JCommTable6.R0C0	21	AD JCommTable6.R0C0	8	Single-KC	73	0.27913077487475174
21937	74	Revised BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	JCommTable6.R1C0	18	AD JCommTable6.R1C0	8	Single-KC	74	0.2639204395984349
21938	75	Revised BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	JCommTable6.R0C0	22	AD JCommTable6.R0C0	9	Single-KC	75	0.3058303719426424
21939	76	Revised BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable8.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	JCommTable8.R0C0	6	AD JCommTable8.R0C0	3	Single-KC	76	0.544121073992015
21940	77	Revised BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable5.R1C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	JCommTable5.R1C0	5	AD JCommTable5.R1C0	3	Single-KC	77	0.32459343799614604
21941	78	Revised BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	JCommTable6.R0C0	23	AD JCommTable6.R0C0	10	Single-KC	78	0.3339009158294379
21942	79	Revised BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	JCommTable6.R1C0	19	AD JCommTable6.R1C0	9	Single-KC	79	0.28885857226742695
21943	80	Revised BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable4.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	hint	0	1	1	JCommTable4.R1C0	4	AD JCommTable4.R1C0	3	Single-KC	80	0.3215837631278711
21944	81	Revised BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable4.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	JCommTable4.R0C0	7	AD JCommTable4.R0C0	4	Single-KC	81	0.36047439397877207
21945	82	Revised BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable5.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	JCommTable5.R1C0	6	AD JCommTable5.R1C0	4	Single-KC	82	0.3725942547846901
21946	83	Revised BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	JCommTable6.R1C0	20	AD JCommTable6.R1C0	10	Single-KC	83	0.31514425661478446
