	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
5433	66	BKT Controller_human(1)	M 10_4_times_6_4	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	67	JCommTable6.R1C0	11	M  JCommTable6.R1C0	5	0.6949766573208722
5434	67	BKT Controller_human(1)	M 10_4_times_6_4	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	68	JCommTable6.R0C0	11	M  JCommTable6.R0C0	5	0.6788430552028313
5435	68	BKT Controller_human(1)	M 10_4_times_6_4	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	69	done	11	M  done	5	0.948997230939049
5436	69	BKT Controller_human(1)	AD 2_3_plus_9_2	1	JCommTable8.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	70	JCommTable8.R0C0	9	AD JCommTable8.R0C0	7	0.7763031423984537
5437	70	BKT Controller_human(1)	AD 2_3_plus_9_2	1	JCommTable4.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	71	JCommTable4.R1C0	8	AD JCommTable4.R1C0	7	0.8654137011232048
5438	71	BKT Controller_human(1)	AD 2_3_plus_9_2	1	JCommTable4.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	72	JCommTable4.R0C0	8	AD JCommTable4.R0C0	7	0.7313728360159413
5439	72	BKT Controller_human(1)	AD 2_3_plus_9_2	1	JCommTable5.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	73	JCommTable5.R1C0	9	AD JCommTable5.R1C0	7	0.9518637787674248
5440	73	BKT Controller_human(1)	AD 2_3_plus_9_2	1	JCommTable5.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	1	1	0	Single-KC	74	JCommTable5.R0C0	7	AD JCommTable5.R0C0	7	0.6126040397594206
5441	74	BKT Controller_human(1)	AD 2_3_plus_9_2	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	75	JCommTable6.R0C0	12	AD JCommTable6.R0C0	7	0.5692066935565978
5442	75	BKT Controller_human(1)	AD 2_3_plus_9_2	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	76	JCommTable6.R1C0	12	AD JCommTable6.R1C0	7	0.4707536850329345
5443	76	BKT Controller_human(1)	AD 2_3_plus_9_2	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	77	done	12	AD done	7	0.9779749800340964
5444	77	BKT Controller_human(1)	AD 6_9_plus_7_1	1	JCommTable8.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	78	JCommTable8.R0C0	10	AD JCommTable8.R0C0	8	0.7814299922770317
5445	78	BKT Controller_human(1)	AD 6_9_plus_7_1	1	JCommTable4.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	79	JCommTable4.R1C0	9	AD JCommTable4.R1C0	8	0.9061317604560274
5446	79	BKT Controller_human(1)	AD 6_9_plus_7_1	1	JCommTable4.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	80	JCommTable4.R0C0	9	AD JCommTable4.R0C0	8	0.7913699659416528
