	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	Prediction
65	65	Default BKT Controller(1)	AD 3_4_plus_2_6	1	JCommTable5.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AD JCommTable5.R1C0	6	JCommTable5.R1C0	6	Single-KC	66	0.903981645469978
66	66	Default BKT Controller(1)	AD 3_4_plus_2_6	1	JCommTable4.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	1	1	0	AD JCommTable4.R0C0	6	JCommTable4.R0C0	6	Single-KC	67	0.7181993263254872
67	67	Default BKT Controller(1)	AD 3_4_plus_2_6	1	JCommTable5.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AD JCommTable5.R0C0	6	JCommTable5.R0C0	6	Single-KC	68	0.6191507488837527
68	68	Default BKT Controller(1)	AD 3_4_plus_2_6	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AD JCommTable6.R0C0	6	JCommTable6.R0C0	12	Single-KC	69	0.5692751077291329
69	69	Default BKT Controller(1)	AD 3_4_plus_2_6	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	1	1	0	AD done	6	done	12	Single-KC	70	0.9136892517266698
70	70	Default BKT Controller(1)	M 3_9_times_10_3	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	M  JCommTable6.R1C0	4	JCommTable6.R1C0	13	Single-KC	71	0.6421199740611534
71	71	Default BKT Controller(1)	M 3_9_times_10_3	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	M  JCommTable6.R0C0	4	JCommTable6.R0C0	13	Single-KC	72	0.566339342377777
72	72	Default BKT Controller(1)	M 3_9_times_10_3	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	M  done	4	done	13	Single-KC	73	0.934828884929449
73	73	Default BKT Controller(1)	AS 9_4_plus_2_4	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	2	1	0	AS JCommTable6.R1C0	4	JCommTable6.R1C0	14	Single-KC	74	0.6464499959809916
74	74	Default BKT Controller(1)	AS 9_4_plus_2_4	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AS JCommTable6.R0C0	4	JCommTable6.R0C0	14	Single-KC	75	0.6667903017003076
