	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	Prediction
78	79	BKT Controller(1)	M 2_8_times_7_3	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	M  JCommTable6.R1C0	9	Single-KC	79	JCommTable6.R1C0	19	0.665653885613915
79	80	BKT Controller(1)	M 2_8_times_7_3	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	M  done	8	Single-KC	80	done	16	0.9845945771916489
80	81	BKT Controller(1)	AS 3_9_plus_9_9	1	JCommTable4.R1C0	1/1/1970 0:04	1/1/1970 0:04		1/1/1970 0:04	incorrect	1	0	0	AS JCommTable4.R1C0	1	Single-KC	81	JCommTable4.R1C0	6	6.37478573238944e-08
81	82	BKT Controller(1)	AS 3_9_plus_9_9	1	JCommTable8.R0C0	1/1/1970 0:04	1/1/1970 0:04		1/1/1970 0:04	incorrect	1	0	0	AS JCommTable8.R0C0	1	Single-KC	82	JCommTable8.R0C0	6	1.1337991542437938e-12
82	83	BKT Controller(1)	AS 3_9_plus_9_9	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AS JCommTable6.R1C0	4	Single-KC	83	JCommTable6.R1C0	20	0.577642587329066
83	84	BKT Controller(1)	AS 3_9_plus_9_9	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AS JCommTable6.R0C0	5	Single-KC	84	JCommTable6.R0C0	20	0.6226024975197031
84	85	BKT Controller(1)	AS 3_9_plus_9_9	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AS done	5	Single-KC	85	done	17	0.9550466357049654
85	86	BKT Controller(1)	M 5_9_times_3_3	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  JCommTable6.R0C0	8	Single-KC	86	JCommTable6.R0C0	21	0.6607472770285302
86	87	BKT Controller(1)	M 5_9_times_3_3	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  JCommTable6.R1C0	10	Single-KC	87	JCommTable6.R1C0	21	0.7010376523365769
87	88	BKT Controller(1)	M 5_9_times_3_3	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  done	9	Single-KC	88	done	18	0.9922237661996959
88	89	BKT Controller(1)	M 9_2_times_4_5	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  JCommTable6.R0C0	9	Single-KC	89	JCommTable6.R0C0	22	0.7131090311821482
89	90	BKT Controller(1)	M 9_2_times_4_5	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  JCommTable6.R1C0	11	Single-KC	90	JCommTable6.R1C0	22	0.7341721858648379
90	91	BKT Controller(1)	M 9_2_times_4_5	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  done	10	Single-KC	91	done	19	0.9960897757174114
91	92	BKT Controller(1)	AS 1_5_plus_10_5	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AS JCommTable6.R1C0	5	Single-KC	92	JCommTable6.R1C0	23	0.5850336397043783
92	93	BKT Controller(1)	AS 1_5_plus_10_5	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AS JCommTable6.R0C0	6	Single-KC	93	JCommTable6.R0C0	23	0.6375454458559603
93	94	BKT Controller(1)	AS 1_5_plus_10_5	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AS done	6	Single-KC	94	done	20	0.9801348487868399
94	95	BKT Controller(1)	M 2_3_times_3_1	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  JCommTable6.R0C0	10	Single-KC	95	JCommTable6.R0C0	24	0.7603206128511778
95	96	BKT Controller(1)	M 2_3_times_3_1	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  JCommTable6.R1C0	12	Single-KC	96	JCommTable6.R1C0	24	0.7648660998173109
96	97	BKT Controller(1)	M 2_3_times_3_1	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  done	11	Single-KC	97	done	21	0.9980375726904457
97	98	BKT Controller(1)	M 1_9_times_2_7	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  JCommTable6.R0C0	11	Single-KC	98	JCommTable6.R0C0	25	0.8019209806270324
98	99	BKT Controller(1)	M 1_9_times_2_7	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  JCommTable6.R1C0	13	Single-KC	99	JCommTable6.R1C0	25	0.7930151113631752
99	100	BKT Controller(1)	M 1_9_times_2_7	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  done	12	Single-KC	100	done	22	0.9990160734828267
