	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
87	88	BKT Controller(1)	AD 5_1_plus_7_7	1	JCommTable5.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable5.R1C0	5	Single-KC	88	AD JCommTable5.R1C0	5	0.45669067509615957
88	89	BKT Controller(1)	AD 5_1_plus_7_7	1	JCommTable4.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable4.R0C0	7	Single-KC	89	AD JCommTable4.R0C0	7	0.4561827428881523
89	90	BKT Controller(1)	AD 5_1_plus_7_7	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04		1/1/1970 0:04	incorrect	1	0	0	JCommTable6.R1C0	22	Single-KC	90	AD JCommTable6.R1C0	13	0.3298220090332389
90	91	BKT Controller(1)	AD 5_1_plus_7_7	1	JCommTable5.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable5.R0C0	6	Single-KC	91	AD JCommTable5.R0C0	6	0.3523753894172777
91	92	BKT Controller(1)	AD 5_1_plus_7_7	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	hint	0	1	1	JCommTable6.R1C0	23	Single-KC	92	AD JCommTable6.R1C0	14	0.34050711023978997
92	93	BKT Controller(1)	AD 5_1_plus_7_7	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable6.R0C0	21	Single-KC	93	AD JCommTable6.R0C0	10	0.3504511924611015
93	94	BKT Controller(1)	AD 5_1_plus_7_7	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	done	16	Single-KC	94	AD done	5	0.7082394529316491
94	95	BKT Controller(1)	M 9_8_times_1_5	1	JCommTable4.R0C0	1/1/1970 0:04	1/1/1970 0:04		1/1/1970 0:04	incorrect	1	0	0	JCommTable4.R0C0	8	Single-KC	95	M  JCommTable4.R0C0	1	1.3925587603395476e-13
95	96	BKT Controller(1)	M 9_8_times_1_5	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04		1/1/1970 0:04	incorrect	1	0	0	JCommTable6.R1C0	24	Single-KC	96	M  JCommTable6.R1C0	6	0.5765179222508071
96	97	BKT Controller(1)	M 9_8_times_1_5	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable6.R0C0	22	Single-KC	97	M  JCommTable6.R0C0	6	0.47273790385343917
